timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2022/11/19 11:01:02.822, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:03.824, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:04.826, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 45, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:05.828, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:06.829, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:07.831, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 46, 98 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:08.833, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 81 %, 45 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:09.835, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:10.837, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:11.838, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 100 %, 41 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:12.841, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 98 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:13.842, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 80 %, 45 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:14.844, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 49, 100 %, 37 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:15.846, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:16.848, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:17.850, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 98 %, 40 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:18.851, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 80 %, 43 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:19.855, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 48, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:20.856, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 38 %, 15360 MiB, 4308 MiB, 10601 MiB
2022/11/19 11:01:21.858, Tesla T4, 00000000:00:1E.0, 510.73.08, P0, 3, 3, 47, 100 %, 39 %, 15360 MiB, 4308 MiB, 10601 MiB
